32   (6, 11) 255.0
33 ! (6, 11) 252.166666667
34 " (6, 11) 253.3
35 # (6, 11) 248.766666667
36 $ (6, 11) 247.35
37 % (6, 11) 249.05
38 & (6, 11) 249.333333333
39 ' (6, 11) 253.866666667
40 ( (6, 11) 251.6
41 ) (6, 11) 251.6
42 * (6, 11) 252.45
43 + (6, 11) 252.45
44 , (6, 11) 253.866666667
45 - (6, 11) 253.583333333
46 . (6, 11) 254.433333333
47 / (6, 11) 252.733333333
48 0 (6, 11) 247.633333333
49 1 (6, 11) 249.333333333
50 2 (6, 11) 248.766666667
51 3 (6, 11) 249.05
52 4 (6, 11) 248.766666667
53 5 (6, 11) 248.2
54 6 (6, 11) 248.2
55 7 (6, 11) 249.616666667
56 8 (6, 11) 247.916666667
57 9 (6, 11) 248.2
58 : (6, 11) 253.866666667
59 ; (6, 11) 253.3
60 < (6, 11) 252.166666667
61 = (6, 11) 252.733333333
62 > (6, 11) 252.166666667
63 ? (6, 11) 251.6
64 @ (6, 11) 248.2
65 A (6, 11) 248.483333333
66 B (6, 11) 248.2
67 C (6, 11) 249.616666667
68 D (6, 11) 248.2
69 E (6, 11) 248.766666667
70 F (6, 11) 249.9
71 G (6, 11) 248.766666667
72 H (6, 11) 247.35
73 I (6, 11) 250.466666667
74 J (6, 11) 250.183333333
75 K (6, 11) 248.483333333
76 L (6, 11) 249.9
77 M (6, 11) 249.05
78 N (6, 11) 248.2
79 O (6, 11) 248.766666667
80 P (6, 11) 249.05
81 Q (6, 11) 248.2
82 R (6, 11) 247.916666667
83 S (6, 11) 249.05
84 T (6, 11) 249.9
85 U (6, 11) 248.2
86 V (6, 11) 249.9
87 W (6, 11) 249.333333333
88 X (6, 11) 249.333333333
89 Y (6, 11) 249.333333333
90 Z (6, 11) 248.766666667
91 [ (6, 11) 249.9
92 \ (6, 11) 252.733333333
93 ] (6, 11) 249.9
94 ^ (6, 11) 252.733333333
95 _ (6, 11) 253.3
96 ` (6, 11) 253.866666667
97 a (6, 11) 249.05
98 b (6, 11) 248.2
99 c (6, 11) 250.466666667
100 d (6, 11) 247.633333333
101 e (6, 11) 249.9
102 f (6, 11) 249.05
103 g (6, 11) 247.633333333
104 h (6, 11) 248.2
105 i (6, 11) 249.9
106 j (6, 11) 249.616666667
107 k (6, 11) 248.2
108 l (6, 11) 249.333333333
109 m (6, 11) 249.9
110 n (6, 11) 249.616666667
111 o (6, 11) 249.9
112 p (6, 11) 247.916666667
113 q (6, 11) 247.633333333
114 r (6, 11) 250.183333333
115 s (6, 11) 249.616666667
116 t (6, 11) 249.333333333
117 u (6, 11) 249.05
118 v (6, 11) 250.75
119 w (6, 11) 249.9
120 x (6, 11) 249.333333333
121 y (6, 11) 248.766666667
122 z (6, 11) 249.616666667
123 { (6, 11) 250.466666667
124 | (6, 11) 253.016666667
125 } (6, 11) 250.466666667
126 ~ (6, 11) 253.3
161 ¡ (6, 11) 251.6
162 ¢ (6, 11) 250.183333333
163 £ (6, 11) 249.05
164 ¤ (6, 11) 251.6
165 ¥ (6, 11) 247.633333333
166 ¦ (6, 11) 252.733333333
167 § (6, 11) 249.333333333
168 ¨ (6, 11) 254.433333333
169 © (6, 11) 249.616666667
170 ª (6, 11) 251.883333333
171 « (6, 11) 249.616666667
172 ¬ (6, 11) 253.016666667
